report,category,terminal,gate,metric,time_slot,sample_n,mmss,seconds
1차,보안검색,T1,2번출국장,평균,06시~07시,196,0:03:10,190
1차,보안검색,T1,2번출국장,평균,07시~08시,223,0:04:52,292
1차,보안검색,T1,2번출국장,평균,08시~09시,225,0:05:36,336
1차,보안검색,T1,2번출국장,평균,09시~10시,266,0:03:39,219
1차,보안검색,T1,2번출국장,평균,10시~11시,187,0:02:52,172
1차,보안검색,T1,2번출국장,평균,13시~14시,289,0:02:04,124
1차,보안검색,T1,2번출국장,평균,14시~15시,294,0:02:17,137
1차,보안검색,T1,2번출국장,평균,15시~16시,249,0:02:47,167
1차,보안검색,T1,2번출국장,평균,16시~17시,274,0:03:54,234
1차,보안검색,T1,2번출국장,평균,17시~18시,184,0:02:17,137
1차,보안검색,T1,3번출국장,평균,전체,2387,0:03:53,233
1차,보안검색,T1,3번출국장,평균,06시~07시,196,0:02:39,159
1차,보안검색,T1,3번출국장,평균,07시~08시,223,0:03:11,191
1차,보안검색,T1,3번출국장,평균,08시~09시,225,0:05:15,315
1차,보안검색,T1,3번출국장,평균,09시~10시,266,0:04:56,296
1차,보안검색,T1,3번출국장,평균,10시~11시,187,0:04:24,264
1차,보안검색,T1,3번출국장,평균,13시~14시,289,0:04:04,244
1차,보안검색,T1,3번출국장,평균,14시~15시,294,0:04:01,241
1차,보안검색,T1,3번출국장,평균,15시~16시,249,0:04:48,288
1차,보안검색,T1,3번출국장,평균,16시~17시,274,0:03:36,216
1차,보안검색,T1,3번출국장,평균,17시~18시,184,0:03:13,193
1차,보안검색,T1,4번출국장,평균,전체,2387,0:03:59,239
1차,보안검색,T1,4번출국장,평균,06시~07시,196,0:02:17,137
1차,보안검색,T1,4번출국장,평균,07시~08시,223,0:02:36,156
1차,보안검색,T1,4번출국장,평균,08시~09시,225,0:03:06,186
1차,보안검색,T1,4번출국장,평균,09시~10시,266,0:06:38,398
1차,보안검색,T1,4번출국장,평균,10시~11시,187,0:07:10,430
1차,보안검색,T1,4번출국장,평균,13시~14시,289,0:05:28,328
1차,보안검색,T1,4번출국장,평균,14시~15시,294,0:03:04,184
1차,보안검색,T1,4번출국장,평균,15시~16시,249,0:05:01,301
1차,보안검색,T1,4번출국장,평균,16시~17시,274,0:02:56,176
1차,보안검색,T1,4번출국장,평균,17시~18시,184,0:02:35,155
1차,보안검색,T1,5번출국장,평균,전체,2387,0:03:56,236
1차,보안검색,T1,5번출국장,평균,06시~07시,196,0:04:34,274
1차,보안검색,T1,5번출국장,평균,07시~08시,223,0:03:38,218
1차,보안검색,T1,5번출국장,평균,08시~09시,225,0:04:10,250
1차,보안검색,T1,5번출국장,평균,09시~10시,266,0:05:29,329
1차,보안검색,T1,5번출국장,평균,10시~11시,187,0:04:45,285
1차,보안검색,T1,5번출국장,평균,13시~14시,289,0:06:49,409
1차,보안검색,T1,5번출국장,평균,14시~15시,294,0:02:46,166
1차,보안검색,T1,5번출국장,평균,15시~16시,249,0:03:37,217
1차,보안검색,T1,5번출국장,평균,16시~17시,274,0:02:39,159
1차,보안검색,T1,5번출국장,평균,17시~18시,184,0:02:35,155
1차,보안검색,T2,1번출국장,평균,전체,2387,0:09:57,597
1차,보안검색,T2,1번출국장,평균,06시~07시,196,0:10:21,621
1차,보안검색,T2,1번출국장,평균,07시~08시,223,0:09:22,562
1차,보안검색,T2,1번출국장,평균,08시~09시,225,0:09:40,580
1차,보안검색,T2,1번출국장,평균,09시~10시,266,0:04:02,242
1차,보안검색,T2,1번출국장,평균,10시~11시,187,0:03:19,199
1차,보안검색,T2,1번출국장,평균,13시~14시,289,0:09:37,577
1차,보안검색,T2,1번출국장,평균,14시~15시,294,0:17:23,1043
1차,보안검색,T2,1번출국장,평균,15시~16시,249,0:17:32,1052
1차,보안검색,T2,1번출국장,평균,16시~17시,274,0:10:49,649
1차,보안검색,T2,1번출국장,평균,17시~18시,184,0:07:39,459
1차,보안검색,T2,2번출국장,평균,전체,2387,0:07:01,421
1차,보안검색,T2,2번출국장,평균,06시~07시,196,0:06:49,409
1차,보안검색,T2,2번출국장,평균,07시~08시,223,0:07:56,476
1차,보안검색,T2,2번출국장,평균,08시~09시,225,0:03:44,224
1차,보안검색,T2,2번출국장,평균,09시~10시,266,0:03:48,228
1차,보안검색,T2,2번출국장,평균,10시~11시,187,0:05:08,308
1차,보안검색,T2,2번출국장,평균,13시~14시,289,0:03:57,237
1차,보안검색,T2,2번출국장,평균,14시~15시,294,0:06:15,375
1차,보안검색,T2,2번출국장,평균,15시~16시,249,0:09:50,590
1차,보안검색,T2,2번출국장,평균,16시~17시,274,0:13:25,805
1차,보안검색,T2,2번출국장,평균,17시~18시,184,0:10:41,641
2차,신분확인,T1,2번출국장,P95,전체,12256,0:10:07,607
