snsr_bdi_dt,tmnl_cd,snsr_dat_dstgs_id,snsr_dat_dstgs_nm,ilnd_que_len,que_brkaw_psg_wtng_psec_times,que_jing_psg_wtng_psec_times,dat_ldup_pgrm_id,dat_ldup_ymd
20250731000700,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,3,Entrance East Departure Gates ,1.0,16.0,18.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P02,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,5,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20250801
20250731000800,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000800,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000800,P01,2,Security Check of Departure Ga,1.0,0.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000800,P01,3,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000800,P02,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000900,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000900,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,4,Security Check of Departure Ga,1.0,229.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P02,1,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,1,Entrance West Departure Gates ,0.0,0.0,7.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P02,2,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P02,1,Security Check of Departure Ga,1.0,10.0,60.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,1,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,3,Security Check of Departure Ga,102.0,418.0,360.0,PG_DSD_DTP_E_0004,20250801
